gene_id,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description
b3699,gyrB,NC_000913.3,3877705,3880119,-,2415,protein_coding,"DNA gyrase subunit B&&sp|P0AES7|GYRB_ECO57 DNA gyrase subunit B OS=Escherichia coli O157:H7 OX=83334 GN=gyrB PE=3 SV=2 && PF02518:Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase|PF00986:DNA gyrase B subunit, carboxyl terminus|PF01751:Toprim domain|PF18053:DNA gyrase B subunit insert domain|PF00204:DNA gyrase B"
b2027,wzzB,NC_000913.3,2097321,2098301,-,981,protein_coding,O-antigen co-polymerase&&sp|P76372|WZZB_ECOLI Chain length determinant protein OS=Escherichia coli (strain K12) OX=83333 GN=wzzB PE=1 SV=2 && PF02706:Chain length determinant protein
b2874,yqeA,NC_000913.3,3011461,3012393,+,933,protein_coding,putative amino acid kinase YqeA&&sp|Q46807|ARCL_ECOLI Carbamate kinase-like protein YqeA OS=Escherichia coli (strain K12) OX=83333 GN=yqeA PE=3 SV=1 && PF00696:Amino acid kinase family
b1562,hokD,NC_000913.3,1645119,1645274,-,156,protein_coding,toxic protein HokD&&sp|P0ACG7|HOKD_ECO57 Protein HokD OS=Escherichia coli O157:H7 OX=83334 GN=hokD PE=3 SV=1 && PF01848:Hok/gef family
b4484,cpxP,NC_000913.3,4105820,4106320,+,501,protein_coding,periplasmic protein CpxP&&sp|P0AE86|CPXP_ECOL6 Periplasmic protein CpxP OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=cpxP PE=3 SV=1 && PF07813:LTXXQ motif family protein
b0369,hemB,NC_000913.3,388753,389727,-,975,protein_coding,porphobilinogen synthase&&sp|P0ACB2|HEM2_ECOLI Delta-aminolevulinic acid dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=hemB PE=1 SV=2 && PF00490:Delta-aminolevulinic acid dehydratase
b2341,fadJ,NC_000913.3,2457015,2459159,-,2145,protein_coding,"3-hydroxyacyl-CoA dehydrogenase FadJ&&sp|C4ZVN2|FADJ_ECOBW Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=fadJ PE=3 SV=1 && PF00378:Enoyl-CoA hydratase/isomerase|PF02737:3-hydroxyacyl-CoA dehydrogenase, NAD binding domain|PF00725:3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"
b2876,yqeC,NC_000913.3,3014287,3015057,-,771,protein_coding,uncharacterized protein YqeC&&sp|Q46809|YQEC_ECOLI Uncharacterized protein YqeC OS=Escherichia coli (strain K12) OX=83333 GN=yqeC PE=4 SV=2 && -
b1283,osmB,NC_000913.3,1343110,1343328,-,219,protein_coding,osmotically-inducible lipoprotein OsmB&&sp|P0ADA9|OSMB_ECO57 Osmotically-inducible lipoprotein B OS=Escherichia coli O157:H7 OX=83334 GN=osmB PE=3 SV=1 && PF05433:Glycine zipper 2TM domain
b2295,yfbV,NC_000913.3,2412677,2413132,-,456,protein_coding,"PF04217 family membrane protein YfbV&&sp|A7ZPA9|YFBV_ECO24 UPF0208 membrane protein YfbV OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=yfbV PE=3 SV=1 && PF04217:Protein of unknown function, DUF412"
b1967,hchA,NC_000913.3,2035835,2036686,+,852,protein_coding,protein/nucleic acid deglycase 1&&sp|C4ZQN7|HCHA_ECOBW Protein/nucleic acid deglycase HchA OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=hchA PE=3 SV=1 && -
b3542,dppC,NC_000913.3,3703859,3704761,-,903,protein_coding,dipeptide ABC transporter membrane subunit DppC&&sp|P0AEG3|DPPC_ECO57 Dipeptide transport system permease protein DppC OS=Escherichia coli O157:H7 OX=83334 GN=dppC PE=3 SV=1 && PF12911:N-terminal TM domain of oligopeptide transport permease C|PF00528:Binding-protein-dependent transport system inner membrane component
b1267,yciO,NC_000913.3,1324098,1324718,+,621,protein_coding,putative RNA-binding protein YciO&&sp|P0AFR5|YCIO_ECOL6 Uncharacterized protein YciO OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=yciO PE=3 SV=1 && PF01300:Telomere recombination
b0422,xseB,NC_000913.3,441101,441343,-,243,protein_coding,exodeoxyribonuclease VII subunit XseB&&sp|A7ZIH5|EX7S_ECO24 Exodeoxyribonuclease 7 small subunit OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=xseB PE=3 SV=1 && PF02609:Exonuclease VII small subunit
b2294,yfbU,NC_000913.3,2412100,2412594,-,495,protein_coding,PF03887 family protein YfbU&&sp|B7MG58|YFBU_ECO45 UPF0304 protein YfbU OS=Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035 GN=yfbU PE=3 SV=1 && PF03887:YfbU domain
b2670,alaE,NC_000913.3,2799164,2799613,+,450,protein_coding,L-alanine exporter&&sp|P64552|ALAE_ECO57 L-alanine exporter AlaE OS=Escherichia coli O157:H7 OX=83334 GN=alaE PE=3 SV=1 && PF06610:L-alanine exporter
b0800,ybiB,NC_000913.3,835248,836210,+,963,protein_coding,"nonspecific DNA-binding protein YbiB&&sp|P30177|YBIB_ECOLI Uncharacterized protein YbiB OS=Escherichia coli (strain K12) OX=83333 GN=ybiB PE=1 SV=1 && PF02885:Glycosyl transferase family, helical bundle domain"
b2564,pdxJ,NC_000913.3,2700998,2701729,-,732,protein_coding,pyridoxine 5'-phosphate synthase&&sp|P0A795|PDXJ_ECO57 Pyridoxine 5'-phosphate synthase OS=Escherichia coli O157:H7 OX=83334 GN=pdxJ PE=3 SV=2 && PF03740:Pyridoxal phosphate biosynthesis protein PdxJ
b1422,ydcI,NC_000913.3,1494148,1495071,-,924,protein_coding,"DNA-binding transcriptional dual regulator YdcI&&sp|P77171|YDCI_ECOLI Uncharacterized HTH-type transcriptional regulator YdcI OS=Escherichia coli (strain K12) OX=83333 GN=ydcI PE=3 SV=2 && PF00126:Bacterial regulatory helix-turn-helix protein, lysR family|PF03466:LysR substrate binding domain"
b0606,ahpF,NC_000913.3,639753,641318,+,1566,protein_coding,alkyl hydroperoxide reductase%2C AhpF component&&sp|P35340|AHPF_ECOLI Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) OX=83333 GN=ahpF PE=1 SV=2 && PF13192:Thioredoxin domain|PF07992:Pyridine nucleotide-disulphide oxidoreductase
b2959,yggL,NC_000913.3,3101807,3102133,-,327,protein_coding,putative ribosome assembly factor YggL&&sp|P38521|YGGL_ECOLI Uncharacterized protein YggL OS=Escherichia coli (strain K12) OX=83333 GN=yggL PE=4 SV=2 && PF04320:Protein with unknown function (DUF469)
b3782,rhoL,NC_000913.3,3966231,3966332,+,102,protein_coding,rho operon leader peptide&&sp|Q8XAT0|LPRH_ECO57 rho operon leader peptide OS=Escherichia coli O157:H7 OX=83334 GN=rhoL PE=4 SV=1 && -
b2866,xdhA,NC_000913.3,3000345,3002603,+,2259,protein_coding,"putative xanthine dehydrogenase molybdenum-binding subunit XdhA&&sp|Q46799|XDHA_ECOLI Putative xanthine dehydrogenase molybdenum-binding subunit XdhA OS=Escherichia coli (strain K12) OX=83333 GN=xdhA PE=2 SV=1 && PF02738:Molybdopterin-binding domain of aldehyde dehydrogenase|PF01315:Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain"
b1832,msrC,NC_000913.3,1915631,1916128,-,498,protein_coding,free methionine-(R)-sulfoxide reductase&&sp|P76270|MSRC_ECOLI Free methionine-R-sulfoxide reductase OS=Escherichia coli (strain K12) OX=83333 GN=msrC PE=1 SV=2 && PF13185:GAF domain
b1092,fabD,NC_000913.3,1149728,1150657,+,930,protein_coding,[acyl-carrier-protein] S-malonyltransferase&&sp|P0AAJ0|FABD_ECOL6 Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=fabD PE=3 SV=2 && PF00698:Acyl transferase domain
b3200,lptA,NC_000913.3,3343380,3343937,+,558,protein_coding,lipopolysaccharide transport system protein LptA&&sp|P0ADV3|LPTA_ECO57 Lipopolysaccharide export system protein LptA OS=Escherichia coli O157:H7 OX=83334 GN=lptA PE=3 SV=1 && PF03968:OstA-like protein
b0642,leuS,NC_000913.3,672201,674783,-,2583,protein_coding,"leucine--tRNA ligase&&sp|C4ZWC9|SYL_ECOBW Leucine--tRNA ligase OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=leuS PE=3 SV=1 && PF13603:Leucyl-tRNA synthetase, Domain 2|PF08264:Anticodon-binding domain of tRNA|PF00133:tRNA synthetases class I (I, L, M and V)"
b1067,yceH,NC_000913.3,1126157,1126804,+,648,protein_coding,"DUF480 domain-containing protein YceH&&sp|C4ZS07|YCEH_ECOBW UPF0502 protein YceH OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=yceH PE=3 SV=1 && PF04337:Protein of unknown function, DUF480"
b0489,qmcA,NC_000913.3,514856,515773,-,918,protein_coding,PHB domain-containing protein QmcA&&sp|P0AA55|QMCA_ECO57 Protein QmcA OS=Escherichia coli O157:H7 OX=83334 GN=qmcA PE=3 SV=1 && PF01145:SPFH domain / Band 7 family|PF16200:C-terminal region of band_7
b2938,speA,NC_000913.3,3083935,3085911,-,1977,protein_coding,"biosynthetic arginine decarboxylase&&sp|P21170|SPEA_ECOLI Biosynthetic arginine decarboxylase OS=Escherichia coli (strain K12) OX=83333 GN=speA PE=1 SV=2 && PF17944:Arginine decarboxylase C-terminal helical extension|PF17810:Arginine decarboxylase helical bundle domain|PF02784:Pyridoxal-dependent decarboxylase, pyridoxal binding domain"
b1305,pspB,NC_000913.3,1368801,1369025,+,225,protein_coding,phage shock protein B&&sp|P0AFN1|PSPB_ECO57 Phage shock protein B OS=Escherichia coli O157:H7 OX=83334 GN=pspB PE=3 SV=1 && PF06667:Phage shock protein B
b3192,mlaC,NC_000913.3,3337256,3337891,-,636,protein_coding,intermembrane phospholipid transport system - periplasmic binding protein&&sp|P0ADV7|MLAC_ECOLI Intermembrane phospholipid transport system binding protein MlaC OS=Escherichia coli (strain K12) OX=83333 GN=mlaC PE=1 SV=1 && PF05494:MlaC protein
b3498,prlC,NC_000913.3,3643140,3645182,-,2043,protein_coding,oligopeptidase A&&sp|P27298|OPDA_ECOLI Oligopeptidase A OS=Escherichia coli (strain K12) OX=83333 GN=prlC PE=3 SV=3 && PF01432:Peptidase family M3
b4111,proP,NC_000913.3,4330502,4332004,+,1503,protein_coding,osmolyte:H(+) symporter ProP&&sp|P0C0L8|PROP_ECO57 Proline/betaine transporter OS=Escherichia coli O157:H7 OX=83334 GN=proP PE=3 SV=1 && PF08946:Osmosensory transporter coiled coil|PF00083:Sugar (and other) transporter
b3925,glpX,NC_000913.3,4114569,4115579,-,1011,protein_coding,"fructose-1%2C6-bisphosphatase 2&&sp|P0A9D0|GLPX_ECOL6 Fructose-1,6-bisphosphatase class 2 OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=glpX PE=3 SV=1 && PF03320:Bacterial fructose-1,6-bisphosphatase, glpX-encoded"
b4032,malG,NC_000913.3,4242626,4243516,-,891,protein_coding,maltose ABC transporter membrane subunit MalG&&sp|P68185|MALG_ECO57 Maltose/maltodextrin transport system permease protein MalG OS=Escherichia coli O157:H7 OX=83334 GN=malG PE=3 SV=1 && PF00528:Binding-protein-dependent transport system inner membrane component
b1714,pheS,NC_000913.3,1797959,1798942,-,984,protein_coding,"phenylalanine--tRNA ligase subunit alpha&&sp|A7ZMI2|SYFA_ECO24 Phenylalanine--tRNA ligase alpha subunit OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=pheS PE=3 SV=1 && PF01409:tRNA synthetases class II core domain (F)|PF02912:Aminoacyl tRNA synthetase class II, N-terminal domain"
b2149,mglA,NC_000913.3,2237769,2239289,-,1521,protein_coding,D-galactose/methyl-galactoside ABC transporter ATP binding subunit&&sp|P0AAG8|MGLA_ECOLI Galactose/methyl galactoside import ATP-binding protein MglA OS=Escherichia coli (strain K12) OX=83333 GN=mglA PE=1 SV=1 && PF00005:ABC transporter
b2157,yeiE,NC_000913.3,2248737,2249618,-,882,protein_coding,"DNA-binding transcriptional regulator YeiE&&sp|P0ACR6|YEIE_ECO57 Uncharacterized HTH-type transcriptional regulator YeiE OS=Escherichia coli O157:H7 OX=83334 GN=yeiE PE=3 SV=1 && PF03466:LysR substrate binding domain|PF00126:Bacterial regulatory helix-turn-helix protein, lysR family"
b0488,ybbJ,NC_000913.3,514401,514859,-,459,protein_coding,"NfeD-like family protein YbbJ&&sp|P0AAS3|YBBJ_ECOLI Inner membrane protein YbbJ OS=Escherichia coli (strain K12) OX=83333 GN=ybbJ PE=1 SV=2 && PF01957:NfeD-like C-terminal, partner-binding"
b1678,ldtE,NC_000913.3,1757721,1758725,-,1005,protein_coding,"L%2CD-transpeptidase LdtE&&sp|P76193|YNHG_ECOLI Probable L,D-transpeptidase YnhG OS=Escherichia coli (strain K12) OX=83333 GN=ynhG PE=1 SV=1 && PF01476:LysM domain|PF17969:L,D-transpeptidase C-terminal domain|PF03734:L,D-transpeptidase catalytic domain"
b2523,pepB,NC_000913.3,2655075,2656358,-,1284,protein_coding,"aminopeptidase B&&sp|C4ZX98|PEPB_ECOBW Peptidase B OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=pepB PE=3 SV=1 && PF12404:Peptidase|PF00883:Cytosol aminopeptidase family, catalytic domain"
b0346,mhpR,NC_000913.3,367587,368420,-,834,protein_coding,DNA-binding transcriptional activator MhpR&&sp|P77569|MHPR_ECOLI DNA-binding transcriptional activator MhpR OS=Escherichia coli (strain K12) OX=83333 GN=mhpR PE=4 SV=2 && PF01614:Bacterial transcriptional regulator|PF09339:IclR helix-turn-helix domain
b0621,dcuC,NC_000913.3,654583,655968,-,1386,protein_coding,anaerobic C4-dicarboxylate transporter DcuC&&sp|P0ABP4|DCUC_ECO57 Anaerobic C4-dicarboxylate transporter DcuC OS=Escherichia coli O157:H7 OX=83334 GN=dcuC PE=3 SV=1 && PF03606:C4-dicarboxylate anaerobic carrier
b1563,relE,NC_000913.3,1645346,1645633,-,288,protein_coding,"mRNA interferase toxin RelE&&sp|P0C077|RELE_ECOLI mRNA interferase toxin RelE OS=Escherichia coli (strain K12) OX=83333 GN=relE PE=1 SV=1 && PF05016:ParE toxin of type II toxin-antitoxin system, parDE"
b4529,ydbJ,NC_000913.3,1441058,1441324,+,267,protein_coding,DUF333 domain-containing protein YdbJ&&sp|P0ACW3|YDBJ_ECOL6 Uncharacterized protein YdbJ OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=ydbJ PE=3 SV=1 && PF03891:Domain of unknown function (DUF333)
b3125,garR,NC_000913.3,3271867,3272751,-,885,protein_coding,tartronate semialdehyde reductase&&sp|P0ABQ3|GARR_ECOL6 2-hydroxy-3-oxopropionate reductase OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=garR PE=3 SV=1 && PF03446:NAD binding domain of 6-phosphogluconate dehydrogenase|PF14833:NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
b4033,malF,NC_000913.3,4243531,4245075,-,1545,protein_coding,maltose ABC transporter membrane subunit MalF&&sp|P02916|MALF_ECOLI Maltose/maltodextrin transport system permease protein MalF OS=Escherichia coli (strain K12) OX=83333 GN=malF PE=1 SV=1 && PF00528:Binding-protein-dependent transport system inner membrane component|PF14785:Maltose transport system permease protein MalF P2 domain
b3838,tatB,NC_000913.3,4022218,4022733,+,516,protein_coding,twin arginine protein translocation system - TatB protein&&sp|P69426|TATB_ECO57 Sec-independent protein translocase protein TatB OS=Escherichia coli O157:H7 OX=83334 GN=tatB PE=3 SV=1 && -
b3356,yhfA,NC_000913.3,3485414,3485818,-,405,protein_coding,OsmC family protein YhfA&&sp|P0ADX3|YHFA_ECO57 Protein YhfA OS=Escherichia coli O157:H7 OX=83334 GN=yhfA PE=4 SV=1 && PF02566:OsmC-like protein
b0209,yafD,NC_000913.3,231122,231922,+,801,protein_coding,endonuclease/exonuclease/phosphatase domain-containing protein YafD&&sp|A7ZHU5|YAFD_ECO24 UPF0294 protein YafD OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=yafD PE=3 SV=1 && PF03372:Endonuclease/Exonuclease/phosphatase family
b0196,rcsF,NC_000913.3,219591,219995,-,405,protein_coding,sensor lipoprotein RcsF&&sp|P69412|RCSF_ECOL6 Outer membrane lipoprotein RcsF OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=rcsF PE=3 SV=1 && PF16358:RcsF lipoprotein
b3363,ppiA,NC_000913.3,3491725,3492297,-,573,protein_coding,peptidyl-prolyl cis-trans isomerase A&&sp|P0AFL5|PPIA_ECO57 Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli O157:H7 OX=83334 GN=ppiA PE=3 SV=1 && PF00160:Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
b3543,dppB,NC_000913.3,3704771,3705790,-,1020,protein_coding,dipeptide ABC transporter membrane subunit DppB&&sp|P0AEG0|DPPB_ECO57 Dipeptide transport system permease protein DppB OS=Escherichia coli O157:H7 OX=83334 GN=dppB PE=3 SV=1 && PF00528:Binding-protein-dependent transport system inner membrane component
b3440,yhhX,NC_000913.3,3579768,3580805,-,1038,protein_coding,"putative oxidoreductase YhhX&&sp|P46853|YHHX_ECOLI Uncharacterized oxidoreductase YhhX OS=Escherichia coli (strain K12) OX=83333 GN=yhhX PE=1 SV=1 && PF01408:Oxidoreductase family, NAD-binding Rossmann fold|PF02894:Oxidoreductase family, C-terminal alpha/beta domain"
b1199,dhaL,NC_000913.3,1249125,1249757,-,633,protein_coding,"dihydroxyacetone kinase subunit L&&sp|P76014|DHAL_ECOLI PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL OS=Escherichia coli (strain K12) OX=83333 GN=dhaL PE=1 SV=3 && PF02734:DAK2 domain"
b3604,lldR,NC_000913.3,3779054,3779830,+,777,protein_coding,"DNA-binding transcriptional dual regulator LldR&&sp|P0ACL7|LLDR_ECOLI Putative L-lactate dehydrogenase operon regulatory protein OS=Escherichia coli (strain K12) OX=83333 GN=lldR PE=2 SV=1 && PF07729:FCD domain|PF00392:Bacterial regulatory proteins, gntR family"
b4016,aceK,NC_000913.3,4218596,4220332,+,1737,protein_coding,isocitrate dehydrogenase kinase/phosphatase&&sp|C5A0V3|ACEK_ECOBW Isocitrate dehydrogenase kinase/phosphatase OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=aceK PE=3 SV=1 && PF06315:Isocitrate dehydrogenase kinase/phosphatase (AceK)
b3181,greA,NC_000913.3,3328239,3328715,-,477,protein_coding,"transcription elongation factor GreA&&sp|P0A6W7|GREA_ECO57 Transcription elongation factor GreA OS=Escherichia coli O157:H7 OX=83334 GN=greA PE=3 SV=1 && PF01272:Transcription elongation factor, GreA/GreB, C-term|PF03449:Transcription elongation factor, N-terminal"
b4234,yjgA,NC_000913.3,4457314,4457865,-,552,protein_coding,putative ribosome biogenesis factor YjgA&&sp|A7ZVB3|YJGA_ECO24 UPF0307 protein YjgA OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=yjgA PE=3 SV=1 && PF04751:Protein of unknown function (DUF615)
b3865,yihA,NC_000913.3,4050133,4050765,-,633,protein_coding,GTP-binding protein YihA&&sp|A1AI47|ENGB_ECOK1 Probable GTP-binding protein EngB OS=Escherichia coli O1:K1 / APEC OX=405955 GN=engB PE=3 SV=1 && PF01926:50S ribosome-binding GTPase
b3871,bipA,NC_000913.3,4058407,4060230,+,1824,protein_coding,50S ribosomal subunit assembly factor BipA&&sp|P0A3B2|BIPA_ECO27 50S ribosomal subunit assembly factor BipA OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=bipA PE=1 SV=1 && PF00679:Elongation factor G C-terminus|PF00009:Elongation factor Tu GTP binding domain|PF03144:Elongation factor Tu domain 2
b1805,fadD,NC_000913.3,1888061,1889746,-,1686,protein_coding,long-chain-fatty-acid--CoA ligase&&sp|P69452|LCFA_ECOL6 Long-chain-fatty-acid--CoA ligase OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=fadD PE=3 SV=1 && PF00501:AMP-binding enzyme|PF13193:AMP-binding enzyme C-terminal domain
b1306,pspC,NC_000913.3,1369025,1369384,+,360,protein_coding,phage shock protein C&&sp|P0AFN4|PSPC_ECO57 Phage shock protein C OS=Escherichia coli O157:H7 OX=83334 GN=pspC PE=3 SV=1 && PF04024:PspC domain
b3061,ttdA,NC_000913.3,3206463,3207374,+,912,protein_coding,L(+)-tartrate dehydratase subunit alpha&&sp|Q0TD45|TTDA_ECOL5 L(+)-tartrate dehydratase subunit alpha OS=Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663 GN=ttdA PE=3 SV=1 && PF05681:Fumarate hydratase (Fumerase)
b1480,sra,NC_000913.3,1555826,1555963,-,138,protein_coding,ribosome-associated protein Sra&&sp|P68193|SRA_ECO57 Stationary-phase-induced ribosome-associated protein OS=Escherichia coli O157:H7 OX=83334 GN=sra PE=3 SV=1 && PF08136:30S ribosomal protein subunit S22 family
b3468,yhhN,NC_000913.3,3605751,3606377,+,627,protein_coding,PF07947 family protein YhhN&&sp|P0ADJ1|YHHN_ECO57 Uncharacterized membrane protein YhhN OS=Escherichia coli O157:H7 OX=83334 GN=yhhN PE=3 SV=1 && PF07947:YhhN family
b3128,garD,NC_000913.3,3275282,3276853,+,1572,protein_coding,"GarD&&sp|P39829|GARD_ECOLI Galactarate dehydratase (L-threo-forming) OS=Escherichia coli (strain K12) OX=83333 GN=garD PE=1 SV=2 && PF08666:SAF domain|PF04295:D-galactarate dehydratase / Altronate hydrolase, C terminus"
b1841,yobA,NC_000913.3,1924595,1924969,-,375,protein_coding,copper-binding protein&&sp|P0AA58|YOBA_ECOL6 Protein YobA OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=yobA PE=3 SV=1 && PF04234:CopC domain
b3797,hisR,NC_000913.3,3982509,3982585,+,77,protein_coding,tRNA-His&&-- && -
b0484,copA,NC_000913.3,508875,511379,-,2505,protein_coding,Cu(+) exporting P-type ATPase&&sp|Q59385|COPA_ECOLI Copper-exporting P-type ATPase OS=Escherichia coli (strain K12) OX=83333 GN=copA PE=1 SV=4 && PF00122:E1-E2 ATPase|PF00403:Heavy-metal-associated domain|PF00702:haloacid dehalogenase-like hydrolase
b3180,yhbY,NC_000913.3,3327790,3328083,+,294,protein_coding,ribosome assembly factor YhbY&&sp|P0AGK6|YHBY_ECO57 RNA-binding protein YhbY OS=Escherichia coli O157:H7 OX=83334 GN=yhbY PE=4 SV=1 && PF01985:CRS1 / YhbY (CRM) domain
b1647,ydhF,NC_000913.3,1724736,1725632,-,897,protein_coding,putative oxidoreductase YdhF&&sp|P76187|YDHF_ECOLI Oxidoreductase YdhF OS=Escherichia coli (strain K12) OX=83333 GN=ydhF PE=1 SV=2 && PF00248:Aldo/keto reductase family
b2346,mlaA,NC_000913.3,2464252,2465007,-,756,protein_coding,intermembrane phospholipid transport system - outer membrane lipoprotein MlaA&&sp|P76506|MLAA_ECOLI Intermembrane phospholipid transport system lipoprotein MlaA OS=Escherichia coli (strain K12) OX=83333 GN=mlaA PE=1 SV=1 && PF04333:MlaA lipoprotein
b2080,yegP,NC_000913.3,2165189,2165521,+,333,protein_coding,DUF1508 domain-containing protein YegP&&sp|P76402|YEGP_ECOLI UPF0339 protein YegP OS=Escherichia coli (strain K12) OX=83333 GN=yegP PE=1 SV=2 && PF07411:Domain of unknown function (DUF1508)
b3209,elbB,NC_000913.3,3349806,3350459,-,654,protein_coding,low activity glyoxalase ElbB&&sp|P0ABU5|ELBB_ECOLI Glyoxalase ElbB OS=Escherichia coli (strain K12) OX=83333 GN=elbB PE=1 SV=1 && -
b3009,yghB,NC_000913.3,3153563,3154222,+,660,protein_coding,DedA family protein YghB&&sp|P0AA62|YGHB_ECO57 Inner membrane protein YghB OS=Escherichia coli O157:H7 OX=83334 GN=yghB PE=3 SV=1 && PF09335:SNARE associated Golgi protein
b1618,uidR,NC_000913.3,1696462,1697052,-,591,protein_coding,"DNA-binding transcriptional repressor UidR&&sp|P0ACT8|UIDR_ECO57 HTH-type transcriptional regulator UidR OS=Escherichia coli O157:H7 OX=83334 GN=uidR PE=3 SV=1 && PF00440:Bacterial regulatory proteins, tetR family"
b1105,lpoB,NC_000913.3,1162638,1163279,+,642,protein_coding,outer membrane lipoprotein - activator of MrcB activity&&sp|P0AB39|LPOB_ECO57 Penicillin-binding protein activator LpoB OS=Escherichia coli O157:H7 OX=83334 GN=lpoB PE=3 SV=1 && PF13036:Peptidoglycan-synthase activator LpoB
b3567,xylG,NC_000913.3,3732201,3733742,+,1542,protein_coding,xylose ABC transporter ATP binding subunit&&sp|P37388|XYLG_ECOLI Xylose import ATP-binding protein XylG OS=Escherichia coli (strain K12) OX=83333 GN=xylG PE=1 SV=1 && PF00005:ABC transporter
b3961,oxyR,NC_000913.3,4158490,4159407,+,918,protein_coding,"DNA-binding transcriptional dual regulator OxyR&&sp|P0ACQ6|OXYR_ECO57 Hydrogen peroxide-inducible genes activator OS=Escherichia coli O157:H7 OX=83334 GN=oxyR PE=3 SV=1 && PF03466:LysR substrate binding domain|PF00126:Bacterial regulatory helix-turn-helix protein, lysR family"
b2992,hybE,NC_000913.3,3140311,3140799,-,489,protein_coding,"hydrogenase 2-specific chaperone&&sp|P0AAN2|HYBE_ECOL6 Hydrogenase-2 operon protein HybE OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=hybE PE=3 SV=1 && PF11939:[NiFe]-hydrogenase assembly, chaperone, HybE"
b1782,mipA,NC_000913.3,1865726,1866472,-,747,protein_coding,MltA-interacting protein&&sp|P0A908|MIPA_ECOLI MltA-interacting protein OS=Escherichia coli (strain K12) OX=83333 GN=mipA PE=1 SV=1 && PF06629:MltA-interacting protein MipA
b1908,yecA,NC_000913.3,1990954,1991619,-,666,protein_coding,putative iron-binding protein YecA&&sp|P0AD05|YECA_ECOLI Uncharacterized protein YecA OS=Escherichia coli (strain K12) OX=83333 GN=yecA PE=4 SV=1 && PF03695:Uncharacterised protein family (UPF0149)|PF02810:SEC-C motif
b3636,rpmG,NC_000913.3,3811250,3811417,-,168,protein_coding,50S ribosomal subunit protein L33&&sp|A8ARM4|RL33_CITK8 50S ribosomal protein L33 OS=Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696) OX=290338 GN=rpmG PE=3 SV=1 && PF00471:Ribosomal protein L33
b2729,hypD,NC_000913.3,2852136,2853257,+,1122,protein_coding,Fe-(CN)2CO cofactor assembly scaffold protein HypD&&sp|P24192|HYPD_ECOLI Hydrogenase maturation factor HypD OS=Escherichia coli (strain K12) OX=83333 GN=hypD PE=1 SV=1 && PF01924:Hydrogenase formation hypA family
b1910,cysT,NC_000913.3,1991914,1991987,-,74,protein_coding,tRNA-Cys&&-- && -
b0581,ybdK,NC_000913.3,606265,607383,-,1119,protein_coding,putative glutamate--cysteine ligase 2&&sp|C4ZV25|GCS2_ECOBW Putative glutamate--cysteine ligase 2 OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=ybdK PE=3 SV=1 && PF04107:Glutamate-cysteine ligase family 2(GCS2)
